Cell Line Name,Primary Disease,"RNAi (Achilles+DRIVE+Marcotte, DEMETER2)",Expression 22Q1 Public
G361,Skin Cancer,-0.5957395048,5.46139759
MDAMB436,Breast Cancer,-0.3185196701,4.139142019
FUOV1,Ovarian Cancer,-0.407360944,5.608513578
HCC364,Lung Cancer,-0.5134624347,4.929317595
KMS27,Myeloma,-0.6452367129,4.428946345
UACC257,Skin Cancer,-0.4396117433,4.79753184
C32,Skin Cancer,-0.649814459,4.718087584
COLO741,Skin Cancer,-0.5329774494,4.679761574
KNS42,Brain Cancer,-0.3202762239,5.582857035
LN18,Brain Cancer,-0.02144715064,5.514437914
HCC1806,Breast Cancer,-0.1842217295,4.72955277
LCLC103H,Lung Cancer,-0.2964692055,4.35614381
KMS18,Myeloma,-0.3130095593,
WM1799,Skin Cancer,-0.5624625541,4.751142325
CORL23,Lung Cancer,-0.07425997488,4.665620164
SKMES1,Lung Cancer,-0.4430171685,5.42693562
HCC44,Lung Cancer,-0.3606575224,4.549053029
SBC5,Lung Cancer,-1.21650943,5.195741293
HUH6,Liver Cancer,-0.11463533,4.267535798
A2780,Ovarian Cancer,-0.6312212944,5.597531174
IALM,Lung Cancer,-0.3791424634,5.601993581
SW1573,Lung Cancer,-0.2105629502,4.895302621
SW948,Colon/Colorectal Cancer,-0.4782521513,4.79753184
A549,Lung Cancer,-0.1128064957,4.702657543
KMRC1,Kidney Cancer,0.1072795553,3.177917792
L33,Pancreatic Cancer,-0.3754652245,5.088311236
OV7,Ovarian Cancer,-0.4536108932,4.100977648
HCC2814,Lung Cancer,-0.29256601,5.149340669
LN464,Brain Cancer,-0.2805337735,4.608809243
SF268,Brain Cancer,0.008303531482,3.832890014
JJN3,Myeloma,-0.3075158376,5.150965784
SUIT2,Pancreatic Cancer,-0.1422701665,4.61999983
IOMMLEE,Brain Cancer,-0.01041419934,4.595145568
YD8,Head and Neck Cancer,-0.3023801193,5.315421316
KS1,Brain Cancer,-0.3542971832,5.128458384
HS944T,Skin Cancer,-0.2607857043,4.718087584
FU97,Gastric Cancer,-1.023811913,4.320484678
LN340,Brain Cancer,-0.1067212704,5.488322191
KYSE520,Esophageal Cancer,-0.1447982036,5.126807703
NCIH441,Lung Cancer,-0.3918438567,5.557348818
NCIH211,Lung Cancer,-0.5840802731,6.302867361
CMK,Leukemia,-0.3164031993,5.842224613
HDQP1,Breast Cancer,0.116159714,4.22650853
COLO829,Skin Cancer,-0.4357838258,4.593353771
JL1,Lung Cancer,-0.1788095519,4.296457407
NCIH28,Lung Cancer,0.2099534012,5.108942569
786O,Kidney Cancer,-0.2091121503,4.362469889
IGR37,Skin Cancer,-0.6233264003,3.959770155
SW620,Colon/Colorectal Cancer,-0.3222317792,5.503984704
HEP3B217,Liver Cancer,-0.2840344747,5.511910749
SW403,Colon/Colorectal Cancer,-0.6139572422,4.951867504
KYSE140,Esophageal Cancer,-0.1356415911,4.748461233
KYSE510,Esophageal Cancer,-0.1018107542,4.263785614
LC1SQSF,Lung Cancer,-0.2406930672,5.366322214
MKL1,Skin Cancer,-0.411854278,
MKL2,Skin Cancer,-0.2321093299,
MONOMAC1,Leukemia,-0.3813597034,5.057883449
PETA,Skin Cancer,-0.2954756517,
RCC4,Kidney Cancer,-0.1125917889,
SJRH30,Sarcoma,-0.6670924305,
KP1N,Pancreatic Cancer,-0.2686805787,
SKMEL2,Skin Cancer,-0.2222571115,4.838951767
SMSCTR,Sarcoma,0.007927041705,4.378511623
SNB19,Brain Cancer,-0.1748249284,
SUMB002,Brain Cancer,-0.05322682118,5.314333994
TTC549,Rhabdoid,-0.2984785653,5.56163163
WM2664,Skin Cancer,-0.5473692914,4.705425039
YMB1,Breast Cancer,-1.206234339,
127399,Sarcoma,-0.1207228534,4.503348735
SKNEP1,Bone Cancer,-0.3588742852,5.516645558
KD,Rhabdoid,-0.05670026025,4.98230913
JR,Sarcoma,-0.4444027426,4.146492307
HRT18,Colon/Colorectal Cancer,-0.04987423775,
BT16,Rhabdoid,-0.3878994044,4.241840184
CMK115,Leukemia,-0.3413088055,5.044394119
COLO205,Colon/Colorectal Cancer,-0.5370684896,
COLO699,Lung Cancer,-0.5898211573,5.483815777
COLO704,Ovarian Cancer,-0.3777445319,
COV504,Ovarian Cancer,0.1595451594,5.162290614
CW9019,Sarcoma,-0.1055323693,5.447248569
D384,Brain Cancer,0.01375061424,
D425,Brain Cancer,0.01586402934,4.548436625
D458,Brain Cancer,0.1123824419,4.821199978
D556,Brain Cancer,-0.05198854167,
EVSAT,Breast Cancer,0.3006130932,
NCIH292,Lung Cancer,-0.320101822,4.509062386
HELA,Cervical Cancer,-0.4148136229,4.963936452
HK2,Engineered,-0.2636647023,
HLC1,Lung Cancer,-0.5135986691,
HLE,Liver Cancer,-0.1599318154,
FUJI,Sarcoma,-0.7535616449,
AZ521,Gastric Cancer,-0.5489657813,
SYO1,Sarcoma,-0.5939856643,4.862947248
8505C,Thyroid Cancer,-0.1761087262,4.813011549
HSSYII,Sarcoma,-0.6733576481,
OCUBM,Breast Cancer,0.1271643822,
184A1,Breast Cancer,0.1304086418,
600MPE,Breast Cancer,-0.1167030837,
HBL100,Unknown,-0.394479095,
HCC2185,Breast Cancer,-0.1784816556,
HCC2688,Breast Cancer,-0.7157390633,
OMM1,Eye Cancer,-0.515408751,5.472487771
HCC3153,Breast Cancer,0.02526300542,
