Cell Line Name,Primary Disease,"RNAi (Achilles+DRIVE+Marcotte, DEMETER2)",Expression 22Q1 Public
CALU1,Lung Cancer,-0.1539316392,4.994579724
INA6,Myeloma,-0.4720525307,4.934516502
HCC33,Lung Cancer,-0.3504083615,6.414135533
NCIH1915,Lung Cancer,-0.3021501491,4.92552477
CAL33,Head and Neck Cancer,-0.4195261374,4.495695163
NCIH2030,Lung Cancer,-0.3336350964,4.482202926
NCIH1694,Lung Cancer,-0.2160671448,6.162089162
TYKNU,Ovarian Cancer,-0.5669687922,4.258518925
UMUC3,Bladder Cancer,-0.3247745065,4.736604875
A704,Kidney Cancer,-0.6032884407,3.388189537
NCIN87,Gastric Cancer,-0.1362893051,5.523248293
UACC62,Skin Cancer,-0.8458466097,4.3652726
TC71,Bone Cancer,-0.4392869771,5.496334513
SNU685,Endometrial/Uterine Cancer,-0.2364760699,5.247927513
CJM,Skin Cancer,-0.1951259867,4.323370069
SAOS2,Bone Cancer,-0.09807340368,5.736875423
769P,Kidney Cancer,-0.1298606771,4.77452353
NCIH2171,Lung Cancer,-0.3879093237,5.62935662
NCIH1944,Lung Cancer,-0.2133063825,4.263785614
NCIH146,Lung Cancer,-0.2496054504,5.213347282
BICR6,Head and Neck Cancer,-0.2383697743,3.341985747
PANC0813,Pancreatic Cancer,-0.3799887015,4.807354922
SW1353,Bone Cancer,-0.1240128267,4.965322548
KMS28BM,Myeloma,-0.4624822975,5.570159302
SNU449,Liver Cancer,-0.2180972858,5.380590934
SW837,Colon/Colorectal Cancer,-0.1484458097,5.737416366
SKMEL3,Skin Cancer,-0.3767059598,5.313608657
NCIH838,Lung Cancer,-0.2350567395,3.715893371
U937,Leukemia,0.04108474828,4.521678952
RKN,Sarcoma,-0.431456082,5.037382222
EW8,Bone Cancer,-0.1102189186,5.223808659
CAL54,Kidney Cancer,-0.445520636,5.207892852
BCPAP,Thyroid Cancer,-0.4423091687,5.443938115
LN428,Brain Cancer,-0.197820689,4.543495883
HCC95,Lung Cancer,-0.3490859872,4.821710215
CAS1,Brain Cancer,-0.1043472951,4.768184325
MELHO,Skin Cancer,-0.2576673408,4.701549057
NCIH1666,Lung Cancer,-0.2286165364,4.942983598
SNU216,Gastric Cancer,-0.3464541498,5.236875245
NCIH2228,Lung Cancer,-0.2868172814,4.771885579
SW1463,Colon/Colorectal Cancer,-0.06421247476,4.464014725
KPNSI9S,Neuroblastoma,0.08740100405,5.317955218
LI7,Liver Cancer,-0.2650227855,5.135042286
HSC2,Head and Neck Cancer,-0.3176987128,4.326968712
KNS60,Brain Cancer,-0.5507033243,4.34553831
LU99,Lung Cancer,-0.199820751,5.521364878
SH4,Skin Cancer,-0.8124011471,5.144862143
RT112,Bladder Cancer,-0.1691416371,4.8899602
NCIH1792,Lung Cancer,-0.2024245608,5.305970521
OELE,Engineered,0.04278692051,4.544114402
SNU423,Liver Cancer,-0.4898561979,4.73714592
NCIH716,Colon/Colorectal Cancer,-0.3094743531,4.389566812
LU65,Lung Cancer,-0.5087949667,4.802193217
SF767,Brain Cancer,-0.006513952888,4.872336288
TCCPAN2,Pancreatic Cancer,-0.4080429207,5.031659854
F36P,Leukemia,-0.3981395755,4.243364426
GSU,Gastric Cancer,-0.3055482856,4.791293149
VMRCRCW,Kidney Cancer,-0.1438487101,4.816599707
NCIH2170,Lung Cancer,-0.1199990404,4.751142325
HUH7,Liver Cancer,-0.0915059066,4.282439805
KNS81,Brain Cancer,0.01593549395,4.665051614
HUH1,Liver Cancer,-0.2442604836,4.221877081
KU1919,Bladder Cancer,-0.4890475183,4.778208576
ABC1,Lung Cancer,-0.09658184619,4.649040566
OVISE,Ovarian Cancer,-0.3999917776,4.898208353
DMS114,Lung Cancer,-1.304131237,5.736604875
HT1197,Bladder Cancer,-0.1034154202,4.024142346
HCC461,Lung Cancer,-0.09871364935,5.107687869
SKNFI,Neuroblastoma,-0.02370959381,6.209063395
NCIH522,Lung Cancer,-1.370967893,6.441118245
OE21,Esophageal Cancer,-0.02033396699,3.555816155
QGP1,Pancreatic Cancer,-0.1262460091,5.603774686
NCIH3122,Lung Cancer,-0.5984485289,5.622637567
RPMI7951,Skin Cancer,0.009603605252,4.619413011
HEYA8,Ovarian Cancer,-0.03754128016,3.691534165
COLO678,Colon/Colorectal Cancer,-0.3523241102,5.672425342
MKN1,Gastric Cancer,-0.4396320723,4.408711861
HCC1428,Breast Cancer,-0.3878630812,6.165710992
TE15,Esophageal Cancer,0.03274816986,4.563768278
MKN45,Gastric Cancer,-0.2033749239,5.397460726
HCC1500,Breast Cancer,-0.6093585273,5.891419187
OCIAML3,Leukemia,-0.4996135768,5.0721058
DB,Lymphoma,-0.4234936041,7.251150991
EFM19,Breast Cancer,-0.4025448928,4.474436043
HT29,Colon/Colorectal Cancer,-0.226438535,5.862451391
NCIH2122,Lung Cancer,-0.6757540583,4.626439137
SKNBE2,Neuroblastoma,-0.4437674786,5.879215637
KARPAS422,Lymphoma,-0.7450295304,8.260778432
SNU886,Liver Cancer,-0.3585175748,4.813011549
K562,Leukemia,-0.2474130856,4.899659026
TE10,Esophageal Cancer,-0.285688342,4.448900951
MPP89,Lung Cancer,-0.2235827145,4.06608919
PSN1,Pancreatic Cancer,-0.07087945364,4.61999983
IGR39,Skin Cancer,-0.0404021649,4.963011648
HT144,Skin Cancer,-0.3718947016,4.924099886
JHOC5,Ovarian Cancer,-0.1785284736,4.507160349
NCIH1395,Lung Cancer,-0.4217633739,3.947666157
LN215,Brain Cancer,-0.349262438,5.143230135
BHY,Head and Neck Cancer,-0.02090064517,5.017476563
K029AX,Skin Cancer,-0.4865608018,5.059182199
HUTU80,Gastric Cancer,-0.5916131741,5.445594291
KMS34,Myeloma,-0.4204458204,5.583158004
NCIH647,Lung Cancer,0.0272157422,4.707082992
KMS12BM,Myeloma,-0.3809227862,4.550285049
WSUDLCL2,Lymphoma,-0.6632104244,5.848247353
OE33,Esophageal Cancer,-0.3044723449,4.389566812
SW780,Bladder Cancer,-0.01256971661,5.502075956
SKRC20,Kidney Cancer,-0.1714530485,4.416839742
LUDLU1,Lung Cancer,-0.1510363492,4.926948248
MHHES1,Bone Cancer,-0.1783794138,5.941575862
NCIH2004RT,Rhabdoid,-0.5341082443,4.765004246
SNU61,Colon/Colorectal Cancer,-0.1911476266,4.110196178
CALU3,Lung Cancer,-0.5362548594,3.624100895
HLF,Liver Cancer,-0.4661856172,4.915998852
NCIH520,Lung Cancer,0.004770019249,5.396776011
TEN,Endometrial/Uterine Cancer,-0.1178173424,5.506843099
SKCO1,Colon/Colorectal Cancer,-0.3879663191,5.142413438
COLO800,Skin Cancer,-0.2960970267,4.589164237
SF295,Brain Cancer,-0.08079673649,4.821199978
G402,Kidney Cancer,-0.5076767973,5.250961574
NCIH460,Lung Cancer,-0.2122868427,4.325530332
RL,Lymphoma,-0.1205425003,6.358255587
NCIH508,Colon/Colorectal Cancer,-0.4242257882,4.817111573
SKHEP1,Liver Cancer,-0.289284568,4.776630423
SNU761,Liver Cancer,-0.3580883855,4.018812186
BT20,Breast Cancer,-0.445947698,4.890446693
SKMM2,Myeloma,-0.3327158815,4.885086225
HCC1143,Breast Cancer,-0.1906613346,5.510329019
SUDHL4,Lymphoma,-0.2945738852,5.810443104
U2OS,Bone Cancer,-0.3180587635,5.650190123
SNU1105,Brain Cancer,-0.2105282838,4.502075956
MOLM16,Leukemia,-0.6491373483,4.903520374
BXPC3,Pancreatic Cancer,-0.3256129295,4.154615611
SKNDZ,Neuroblastoma,-0.643175606,6.014132087
TE11,Esophageal Cancer,0.05137624137,4.484138131
SNU1076,Head and Neck Cancer,-0.2604511621,4.341274184
U118MG,Brain Cancer,-0.06004041088,5.191799501
TUHR4TKB,Kidney Cancer,0.1556388403,4.807354922
SKNO1,Leukemia,-0.0973166557,6.122258568
TE1,Esophageal Cancer,-0.1043954244,4.165911939
KE39,Gastric Cancer,-0.1295822448,4.378511623
MIAPACA2,Pancreatic Cancer,-0.3737555532,4.263034406
PECAPJ34CLONEC12,Head and Neck Cancer,-0.1968912776,3.929790998
FADU,Head and Neck Cancer,-0.0005540676797,5.417515003
MKN7,Gastric Cancer,-0.1972057985,4.363171077
HOP62,Lung Cancer,-0.1337258281,4.769242795
KM12,Colon/Colorectal Cancer,-0.2439262887,4.577730931
IGROV1,Ovarian Cancer,-0.7447574592,5.083638879
CCK81,Colon/Colorectal Cancer,-0.8368002186,4.723012396
OC314,Ovarian Cancer,-0.2655191693,4.584962501
KYSE450,Esophageal Cancer,-0.17554155,4.790772038
SNU8,Ovarian Cancer,-0.2814743061,4.725741157
SW48,Colon/Colorectal Cancer,-0.09858250067,5.194953796
KALS1,Brain Cancer,-0.1285602141,4.252476214
MFE296,Endometrial/Uterine Cancer,0.04355139462,5.649615459
SUPT1,Leukemia,-0.6649991063,6.077456652
CAKI1,Kidney Cancer,0.01948573446,4.931210275
KYSE180,Esophageal Cancer,-0.138103305,4.886550147
NCIH2009,Lung Cancer,-0.2929919404,5.328405659
MDAMB361,Breast Cancer,-0.8943630849,6.364047084
NCIH1339,Lung Cancer,0.03146123858,4.816599707
NCIH1573,Lung Cancer,-0.1735508838,5.708187236
NCIH2286,Lung Cancer,-0.4293742576,5.489286023
EFE184,Endometrial/Uterine Cancer,-0.3601280614,3.858975614
HCC2450,Lung Cancer,-0.3647530674,4.63691458
SW1990,Pancreatic Cancer,-0.07834170444,4.23572706
EN,Endometrial/Uterine Cancer,0.01954329193,5.333781501
TE8,Esophageal Cancer,-0.5983017715,4.733896605
TUHR14TKB,Kidney Cancer,-0.1823263752,5.389222616
NCIH1355,Lung Cancer,-0.2163359934,5.529196268
HCC70,Breast Cancer,-0.5833403512,4.584361253
THP1,Leukemia,-0.2655269065,5.199672345
LXF289,Lung Cancer,-0.234631765,5.19061486
HCT15,Colon/Colorectal Cancer,0.1652446772,5.265661925
ZR7530,Breast Cancer,-0.6052606022,4.910732662
HEC59,Endometrial/Uterine Cancer,-0.3264467271,5.41040895
LNCAPCLONEFGC,Prostate Cancer,-0.3402470057,5.008540672
KPNYN,Neuroblastoma,-0.4665421905,6.090218302
NCIH727,Lung Cancer,-0.150123046,4.048759312
JHH7,Liver Cancer,-0.14349241,5.593054922
HT115,Colon/Colorectal Cancer,-0.64025581,4.140778656
NCIH661,Lung Cancer,-0.642997703,5.485748821
HEC6,Endometrial/Uterine Cancer,-0.2168167638,5.651338766
LN443,Brain Cancer,-0.7005243751,4.807354922
NCIH1155,Lung Cancer,-0.000603331694,5.554281863
DU145,Prostate Cancer,-0.4043837371,
RH30,Sarcoma,-0.250625077,4.698774109
NCIH1581,Lung Cancer,-0.4913043179,5.638653116
A427,Lung Cancer,0.002347208093,5.320123598
WM115,Skin Cancer,-0.4644243309,4.642701572
MOLM13,Leukemia,-0.6063605256,4.266786541
TUHR10TKB,Kidney Cancer,-0.1450563567,4.137503524
KURAMOCHI,Ovarian Cancer,-0.2743170432,4.288358562
DLD1,Colon/Colorectal Cancer,-0.05985390014,4.095080492
OVTOKO,Ovarian Cancer,-0.3148473567,3.627606838
CW2,Colon/Colorectal Cancer,-0.9599022758,4.754887502
HEC251,Endometrial/Uterine Cancer,-0.05417500238,4.410748128
SNU81,Colon/Colorectal Cancer,-0.4383460224,5.642990313
MFE319,Endometrial/Uterine Cancer,-0.5831401439,4.381283373
NCIH747,Colon/Colorectal Cancer,-0.2499728518,5.085764554
MEWO,Skin Cancer,-0.3590338148,5.483493351
SUDHL6,Lymphoma,-0.951532155,6.323189901
SW1088,Brain Cancer,-0.3910772579,4.56315813
SNUC2A,Colon/Colorectal Cancer,-0.4186474283,5.92552477
ISHIKAWAHERAKLIO02ER,Endometrial/Uterine Cancer,-0.08089868935,5.131754091
LS180,Colon/Colorectal Cancer,-0.5302057456,4.648465443
22RV1,Prostate Cancer,-0.4417322295,5.255500733
LS411N,Colon/Colorectal Cancer,-0.1106778325,4.387500406
RL952,Endometrial/Uterine Cancer,-0.1872434486,4.773468928
